TABLE_NAME,COLUMN_NAME,DATA_TYPE,COLUMN_TYPE,IS_NULLABLE,COLUMN_KEY,COLUMN_DEFAULT
AuditLog,AuditLogId,int,int,NO,PRI,NULL
AuditLog,UserId,int,int,NO,MUL,NULL
AuditLog,ActionType,varchar,varchar(100),NO,,NULL
AuditLog,TableName,varchar,varchar(100),NO,,NULL
AuditLog,ObjectId,int,int,YES,,NULL
AuditLog,ActionTime,datetime,datetime,NO,,CURRENT_TIMESTAMP
AuditLog,OldValues,text,text,YES,,NULL
AuditLog,NewValues,text,text,YES,,NULL
AuditLog,Description,varchar,varchar(255),YES,,NULL
ConcessionItem,ConcessionItemId,int,int,NO,PRI,NULL
ConcessionItem,ItemName,varchar,varchar(100),NO,UNI,NULL
ConcessionItem,Price,decimal,"decimal(10,2)",NO,,NULL
ConcessionItem,QuantityInStock,int,int,NO,,0
ConcessionItem,Minimum,int,int,NO,,5
ConcessionItem,LocationId,int,int,NO,MUL,1
ConcessionItem,IsActive,tinyint,tinyint(1),NO,,1
ConcessionSale,ConcessionSaleId,int,int,NO,PRI,NULL
ConcessionSale,UserId,int,int,NO,MUL,NULL
ConcessionSale,CustomerEmail,varchar,varchar(100),NO,,NULL
ConcessionSale,TimeOfSale,datetime,datetime,NO,,NULL
ConcessionSale,Total,decimal,"decimal(10,2)",NO,,NULL
ConcessionSale,LocationId,int,int,NO,MUL,1
ConcessionSaleItem,ConcessionSaleItemId,int,int,NO,PRI,NULL
ConcessionSaleItem,ConcessionSaleId,int,int,NO,MUL,NULL
ConcessionSaleItem,ConcessionItemId,int,int,NO,MUL,NULL
ConcessionSaleItem,Quantity,int,int,NO,,NULL
ConcessionSaleItem,UnitPrice,decimal,"decimal(10,2)",NO,,NULL
ConcessionSaleItem,LineTotal,decimal,"decimal(10,2)",NO,,NULL
Employees,EmployeeId,int,int,NO,PRI,NULL
Employees,FirstName,varchar,varchar(50),NO,,NULL
Employees,MiddleName,varchar,varchar(50),YES,,NULL
Employees,LastName,varchar,varchar(50),NO,,NULL
Employees,DOB,date,date,NO,,NULL
Employees,Phone,varchar,varchar(20),NO,,NULL
Employees,Email,varchar,varchar(100),NO,UNI,NULL
Employees,Address,varchar,varchar(200),YES,,NULL
Employees,PayRate,decimal,"decimal(10,2)",YES,,NULL
Employees,LocationId,int,int,YES,MUL,NULL
Location,LocationId,int,int,NO,PRI,NULL
Location,LocationName,varchar,varchar(100),NO,UNI,NULL
Location,LocationAddress,varchar,varchar(255),YES,UNI,NULL
Location,IsActive,tinyint,tinyint(1),NO,,1
Movies,MovieId,int,int,NO,PRI,NULL
Movies,Title,varchar,varchar(200),NO,UNI,NULL
Movies,Rating,varchar,varchar(20),NO,,NULL
Movies,Genre,varchar,varchar(30),NO,,NULL
Movies,RuntimeMinutes,smallint,smallint,NO,,NULL
Movies,Description,varchar,varchar(1000),NO,,NULL
PayPeriods,PayPeriodId,int,int,NO,PRI,NULL
PayPeriods,StartDate,date,date,NO,,NULL
PayPeriods,EndDate,date,date,NO,,NULL
PayStubs,PayStubId,int,int,NO,PRI,NULL
PayStubs,PayrollId,int,int,NO,MUL,NULL
PayStubs,IssueDate,datetime,datetime,NO,,NULL
Payrolls,PayrollId,int,int,NO,PRI,NULL
Payrolls,EmployeeId,int,int,NO,MUL,NULL
Payrolls,PayPeriodId,int,int,NO,MUL,NULL
Payrolls,GrossPay,decimal,"decimal(10,2)",NO,,0.00
Roles,RoleId,int,int,NO,PRI,NULL
Roles,RoleName,varchar,varchar(30),YES,,NULL
ScheduleAssignments,AssignmentId,int,int,NO,PRI,NULL
ScheduleAssignments,AssignmentName,varchar,varchar(50),NO,,NULL
ScheduleAssignments,UserId,int,int,NO,MUL,NULL
ScheduleAssignments,ShiftId,int,int,NO,MUL,NULL
ScheduleAssignments,ShowtimeId,int,int,YES,MUL,NULL
Seat,SeatId,int,int,NO,PRI,NULL
Seat,TheaterScreenId,int,int,NO,MUL,NULL
Seat,RowLabel,varchar,varchar(10),NO,,NULL
Seat,SeatNumber,int,int,NO,,NULL
Seat,SeatType,varchar,varchar(50),YES,,Standard
Seat,IsActive,tinyint,tinyint(1),YES,,1
Seat,ColumnNumber,int,int,YES,,NULL
Seat,RowNumber,int,int,YES,,NULL
SeatReservation,ReservationId,int,int,NO,PRI,NULL
SeatReservation,ShowtimeSeatId,int,int,NO,MUL,NULL
SeatReservation,UserId,int,int,NO,,NULL
SeatReservation,ReservedAt,datetime,datetime,NO,,CURRENT_TIMESTAMP
SeatReservation,ExpiresAt,datetime,datetime,NO,,NULL
Shifts,ShiftId,int,int,NO,PRI,NULL
Shifts,StartTime,datetime,datetime,NO,,NULL
Shifts,EndTime,datetime,datetime,NO,,NULL
Shifts,RoleId,int,int,NO,MUL,NULL
Shifts,LocationId,int,int,NO,MUL,NULL
Showtime,ShowtimeId,int,int,NO,PRI,NULL
Showtime,MovieId,int,int,NO,MUL,NULL
Showtime,TheaterScreenId,int,int,NO,MUL,NULL
Showtime,StartTime,datetime,datetime,NO,,NULL
Showtime,Capacity,int,int,NO,,50
Showtime,PricePerTicket,decimal,"decimal(10,2)",NO,,0.00
Showtime,IsActive,tinyint,tinyint(1),NO,,1
ShowtimeSeat,ShowtimeSeatId,int,int,NO,PRI,NULL
ShowtimeSeat,ShowtimeId,int,int,NO,MUL,NULL
ShowtimeSeat,SeatId,int,int,NO,MUL,NULL
ShowtimeSeat,Status,varchar,varchar(20),NO,,Available
TheaterScreen,TheaterScreenId,int,int,NO,PRI,NULL
TheaterScreen,LocationId,int,int,NO,MUL,NULL
TheaterScreen,ScreenName,varchar,varchar(100),NO,,NULL
TheaterScreen,Capacity,int,int,NO,,50
TheaterScreen,IsActive,tinyint,tinyint(1),NO,,1
Ticket,TicketId,int,int,NO,PRI,NULL
Ticket,TicketCode,int,int,NO,,NULL
Ticket,ShowtimeId,int,int,NO,MUL,NULL
Ticket,UserAtSale,int,int,NO,MUL,NULL
Ticket,TimeOfSale,datetime,datetime,NO,,NULL
Ticket,ShowtimeSeatId,int,int,YES,MUL,NULL
TimeEntries,TimeEntryId,int,int,NO,PRI,NULL
TimeEntries,EmployeeId,int,int,NO,MUL,NULL
TimeEntries,ClockIn,datetime,datetime,NO,,NULL
TimeEntries,ClockOut,datetime,datetime,YES,,NULL
Timesheets,TimesheetId,int,int,NO,PRI,NULL
Timesheets,EmployeeId,int,int,NO,MUL,NULL
Timesheets,PayPeriodId,int,int,NO,MUL,NULL
Timesheets,TotalHours,decimal,"decimal(5,2)",NO,,0.00
Timesheets,Approved,tinyint,tinyint(1),NO,,0
Timesheets,ApprovedByUserId,int,int,YES,MUL,NULL
Users,UserId,int,int,NO,PRI,NULL
Users,EmployeeId,int,int,NO,MUL,NULL
Users,UserName,varchar,varchar(100),NO,UNI,NULL
Users,UserPassword,varchar,varchar(20),NO,,NULL
Users,PasswordHash,varchar,varchar(255),YES,,NULL
Users,IsActive,tinyint,tinyint,NO,,1
Users,MustChangePassword,tinyint,tinyint,NO,,0
Users,PasswordChangedUtc,datetime,datetime,YES,,NULL
Users,LastLoginUtc,datetime,datetime,YES,,NULL
Users,FailedAccessCount,int,int,NO,,0
Users,LockoutEndUtc,datetime,datetime,YES,,NULL
Users,RoleId,int,int,NO,MUL,NULL
Users_v1_compat,UserId,int,int,NO,,0
Users_v1_compat,EmployeeId,int,int,NO,,NULL
Users_v1_compat,UserName,varchar,varchar(100),NO,,NULL
Users_v1_compat,UserPassword,varchar,varchar(20),NO,,NULL
Users_v1_compat,RoleId,int,int,NO,,NULL
